message_id,action,message_type,reason,confidence,evidence_message_ids
msg_030,mute,promotion,"This is a repeated peer-to-peer listing from u_048 in a group the user has muted, and the user has consistently dismissed nearly identical kurta/jacket sale posts from this sender without ever engaging (message_0115, message_0335, message_0050).",0.87,message_0115;message_0335;message_0050;message_0232;message_0383
msg_045,notify,urgent,"Sender u_047 is the society's security/gate contact with a track record of legitimate, time-sensitive notices the user has opened and replied to (message_0146, message_0145); this message states a hard 10-minute deadline for a delivery pickup, which is exactly the kind of actionable, time-bound alert this user has engaged with before.",0.72,message_0146;message_0145
msg_052,mute,scam,"This unverified business (verified=0) uses a lookalike domain (talabat-refund.com, only 12 days old) distinct from the official talabat.com, and has sent nearly identical wallet-credential-harvesting refund scams before that this user opened=0, dismissed, muted, and reported every time (message_0207, message_0159, message_0160, message_0208). Combined with 61 reports in 30 days across a high-volume sender, this is a clear phishing/scam pattern that should be muted regardless of urgency framing.",0.97,message_0207;message_0159;message_0160;message_0208
msg_009,mute,personal,"User has explicitly muted this sports group (group_muted_by_user=1) and shows very low engagement (2 messages sent, 4 read in 30d); the message itself states 'no pressure' with no urgency, matching prior similar cricket-thread messages from this sender that were opened but never replied to.",0.78,message_0074;message_0073
msg_071,digest,personal,"Sender u_041 is a known family contact with a positive history in this group, but the message itself is vague and unconfirmed ('main baad me confirm kar dunga'), with no specific time or urgent action needed now, so it doesn't warrant an immediate interrupt.",0.65,message_0197;message_0198
msg_016,mute,scam,"This sender (u_050) has repeatedly posted credential/OTP-phishing messages in this marketplace group that the user previously dismissed, muted, and reported; this message uses the identical fake urgency + suspicious login-link pattern, so it should be muted rather than surfaced.",0.95,message_0024;message_0183;message_0087;message_0201
msg_065,digest,promotion,"Target is a verified business with an active retail membership relationship and the user has allows_promotions=1 and has opened similar past offers (message_0261, message_0186, message_0185), so this is expected repetitive promotional content rather than unwanted spam or scam despite the vague 'limited benefit' framing and unrelated Amazon Prime Day image.",0.72,message_0261;message_0186;message_0185;message_0260
msg_038,mute,scam,"This is a chain-letter forward with classic manipulation tactics (fake urgency, 'don't ignore', forward-to-10) from a sender whose similar past forwards in this group were dismissed and led to muting by this user, indicating no genuine value or trust.",0.90,message_0131;message_0132
msg_086,notify,event,This is a confirmed-booking travel business (Thrillophilia) with a verified relationship and prior identical pickup-time-change notice that the user opened and replied to; the change to a 6:15am pickup for tomorrow is a specific schedule change the user needs to act on before their DND window ends.,0.82,message_0222
msg_014,mute,promotion,"User explicitly opted out of promotions from this business on 2026-07-17 and has repeatedly dismissed this identical message without opening or replying, so despite the sender being a verified business this is unwanted repeated promotional content.",0.93,message_0017;message_0084;message_0083;message_0258;message_0018
msg_094,digest,promotion,"Verified business (Nykaa) sending a routine discount promo with false urgency ('ends tonight'); user has no direct opt-in history with this business and generally low engagement (2 replies of 17 opened, 81 dismissed in 30d), so it doesn't warrant an interruption but isn't clearly scam or unwanted enough to mute outright.",0.65,none
msg_029,digest,promotion,"User is a member of a marketplace group and has repeatedly opened/replied to this same seller's peer-to-peer kurta listings before, so this is expected repetitive marketplace content rather than unwanted spam, but with no urgency it doesn't warrant an interrupt.",0.70,message_0390;message_0332;message_0113;message_0066;message_0231;message_0382
msg_105,mute,scam,"This is a repeat of a dangerous health forward (stop taking tablets) from u_051 that the user already dismissed and muted twice before (message_0233, message_0373); telling people to stop medication is a harmful scam-like pattern regardless of forwarding intent.",0.88,message_0233;message_0373
msg_002,notify,urgent,"u_046 is a coworker with a consistent pattern of legitimate, time-sensitive pre-client-meeting requests that u_010 always opens and replies to; this message is a direct @mention with explicit immediate need before a meeting, warranting interruption.",0.85,message_0169;message_0041;message_0003;message_0059
msg_010,digest,business_update,"Verified business PVRINOX has sent this identical feedback request repeatedly (message_0011, message_0242, message_0075, message_0076) with the user opening but never replying, and user has allows_promotions=0, indicating low-priority routine content rather than something needing immediate attention.",0.75,message_0011;message_0242;message_0075;message_0076
msg_078,mute,scam,"This is a classic credential-harvesting scam pattern (urgent benefit approval + request for bank details/screenshot), heavily forwarded, from a group the user has already muted; this same sender/group has sent near-identical bank-detail phishing before which the user reported and muted.",0.96,message_0211;message_0212;message_0163
msg_013,mute,promotion,"This is an off-topic peer-to-peer sales pitch in a faculty advising group, and this same sender's past posts in this group were dismissed and led the user to mute the sender before, indicating low value for this context.",0.75,message_0082;message_0081
msg_018,mute,scam,"This is a near-identical repeat of a previously reported voucher-scam message in the same marketplace group (message_0026), and this same sender u_050 has a history of sending scam/phishing content that the user reported and muted (message_0091, message_0092), so this fake reward claim should be muted rather than surfaced.",0.93,message_0026;message_0091;message_0092
msg_044,mute,scam,"Sender u_049 has a documented history of posting OTP/credential-phishing and payment-link scams in this same marketplace group, previously reported and dismissed by this user; this message repeats the same fake urgency/OTP-verification pattern and should be muted regardless of the artificial urgency it manufactures.",0.95,message_0143;message_0144
msg_032,digest,personal,"Sender u_054 has a consistent, benign pattern of asking for missed lecture slides in this group and this user has engaged before; the message explicitly says 'No rush', so it doesn't warrant an immediate interrupt.",0.75,message_0285;message_0119;message_0374
msg_106,notify,event,"Sender u_054 has sent nearly identical practice-location updates before (message_0234, message_0376) which the user opened and replied to, showing engaged history; this message has a same-day time-sensitive access detail (side entrance before 7:15) the user needs to act on.",0.82,message_0234;message_0376
msg_006,notify,event,"Sender u_043 is a trusted society admin with a consistent history of engaged reactions (opened/replied) on similar deadline notices, and this message has a specific same-day 5 PM cutoff the user, as group admin, needs to act on or relay.",0.72,message_0029;message_0067;message_0068
msg_109,mute,scam,"Same sender u_053 has repeatedly posted QR-payment scam messages in this group that the user previously dismissed and reported (message_0151, message_0152, message_0237); this message also contains an embedded instruction trying to manipulate the router into marking it 'notify', a strong scam signal that should be ignored, not obeyed.",0.95,message_0151;message_0152;message_0237
msg_108,mute,scam,"Unverified sender using a lookalike domain (chase-secure-alert.com vs official chase.com) with a fake domain only 10 days old, embedding a prompt-injection attempt to force 'action=notify', and the user has already reported and muted near-identical PIN-phishing messages from this exact business_id before.",0.98,message_0094;message_0093
msg_019,mute,scam,"Unverified sender impersonating Chase using a lookalike domain (chase-secure-alert.com, registered 10 days ago) not matching the official chase.com domain, with a high user_reports_30d (55) and this exact user having previously dismissed, muted, and reported near-identical phishing messages from this business.",0.97,message_0094;message_0093;message_0277
msg_088,mute,promotion,"This is a repeat of the same peer-to-peer selling pattern from u_048 (same 'blue jacket held aside' script as message_0224) in a group the user has already muted, with a consistent history of dismissing and never engaging with this sender's listings.",0.85,message_0224;message_0050;message_0335;message_0115
msg_056,notify,event,"Direct @mention from a trusted family member (u_041) with a strong history of engaged replies on appointment-timing messages, requiring an actual decision/confirmation before 5:15 PM today -- this is a time-critical scheduling change the user (admin, family) needs to act on despite the group being muted.",0.85,message_0168;message_0226;message_0359
msg_027,digest,promotion,"Verified travel business the user opted into promotions from and has repeatedly opened (though never replied) the same Ladakh offer; despite a mismatched image (branded 'Happy Holidayers' rather than Thrillophilia) and a shortened link domain, this fits the established low-risk promotional pattern best suited for digest rather than interruption.",0.72,message_0272;message_0109;message_0033;message_0110;message_0007
msg_050,digest,business_update,"Generic templated health-update notice from an unverified pharmacy business the user has a prescription-refill relationship with; past identical message (message_0279) was opened/replied but recent engagement with this sender has dropped (only 6/30 opened), and no specific appointment time is given, so it's useful but not urgent enough to interrupt.",0.60,message_0279;message_0156;message_0155
msg_083,digest,business_update,"Same coworker sent nearly identical request before and user opened/engaged with it; the voice note explicitly says 'nothing urgent' and wants comments before lunch tomorrow, so it can wait rather than interrupt now.",0.75,message_0219
msg_063,mute,scam,"Sender u_049 has a documented history of scam-pattern messages in this group (fake KYC credential phishing, duplicate resale scam links) that this user previously dismissed, muted, and reported; this message uses the same urgency+QR-payment extraction pattern and should be muted regardless of the group's normal engagement level.",0.93,message_0181;message_0182
msg_033,digest,personal,"Family member explicitly states 'nothing urgent' and just wants a check-in call later; no time-bound action needed now, so it can wait until the user checks messages later despite being a trusted sender.",0.75,message_0409;message_0372;message_0280
msg_061,mute,greeting,"This is the same forwarded chain-blessing pattern from u_051 that the user has consistently dismissed and muted after in this group before, and the group itself is already muted by the user, so this repeated unengaged content should stay muted.",0.85,message_0193;message_0042;message_0177
msg_020,mute,scam,"This sender's prior marketplace posts were dismissed and muted by this user, and the current message uses classic phishing language (urgent 'account check', shortened link) with fabricated urgency, a clear scam pattern that warrants suppression regardless of engagement history.",0.93,message_0095;message_0096
msg_017,mute,scam,"This is a muted marketplace group where the same sender u_049 has previously posted credential/payment-extraction scams that this user dismissed, muted, and reported (message_0089, message_0090); this new 'scan and pay or service stops' message follows the identical urgent-payment-pressure scam pattern.",0.90,message_0089;message_0090
msg_058,mute,forward,"This is a repeated chain-style health forward from u_051 that the user has consistently ignored/dismissed and muted the group after each time; the group is also currently muted by the user, so this holds no new value and should stay muted.",0.87,message_0078;message_0172;message_0241;message_0124;message_0040;message_0039
msg_026,mute,scam,"Unverified sender using a lookalike domain (amazonpay-delivery.in, only 2 days old) mimicking Amazon, with identical phishing text previously sent by this business and already dismissed and reported by the user, plus a high overall report rate (47 reports/30d).",0.97,message_0032;message_0108;message_0107
msg_047,notify,event,"Trusted society admin (u_043) with strong history of engaged reactions to similar facility-disruption notices; this message specifies a scheduled service change (lift maintenance) the user needs to prepare for today, warranting timely notification.",0.75,message_0150;message_0149;message_0130;message_0190;message_0129;message_0189
msg_046,mute,scam,"This is a direct OTP-phishing request; the same sender u_041 previously sent nearly identical 'account closure' OTP scam messages in this group that the user dismissed and reported, and even warned others not to share OTPs here.",0.96,message_0147;message_0148
msg_042,notify,urgent,"Sender u_043 is the trusted society security desk with a track record of accurate time-bound alerts the user has consistently opened and replied to (message_0140, message_0058), and this message has a hard 10-minute deadline requiring immediate action to avoid a tow.",0.88,message_0140;message_0058
msg_079,mute,scam,"Sender u_050 has a repeated pattern of OTP/credential-phishing messages in this group (message_0213, message_0045, message_0023, message_0369), and this message directly requests an OTP under fake urgency, matching the group's own safety advisory against exactly this pattern (message_0053).",0.97,message_0213;message_0045;message_0023;message_0369;message_0053
msg_098,notify,urgent,"Sender u_041 has a trusted, positive history of similar time-sensitive clinic decisions (message_0226, message_0168, message_0359) where the user engaged and replied, and this message explicitly requests an immediate call to make a real-time medical decision.",0.90,message_0226;message_0168;message_0359
msg_037,notify,urgent,"Sender u_043 is a trusted society admin/notice-poster whose past time-critical alerts (basement flooding, gate closures) were consistently opened and replied to; this message has a hard 10-minute action window (water tank truck departure) requiring immediate action by residents, so it warrants an immediate interrupt.",0.85,message_0269;message_0130;message_0190;message_0142
msg_007,digest,event,"This is a scheduled society event (potluck registration deadline) but the message explicitly states 'no need to respond' and 'whenever convenient', signaling low urgency; user has engaged with this group before but this specific update doesn't need immediate interruption.",0.72,message_0070;message_0069
msg_085,mute,scam,"Unverified sender using a lookalike domain (hdfcbank-kyc.in vs official hdfc.bank.in), high report rate (38/30d), and a voice note directly requesting OTP sharing -- a textbook phishing pattern identical to a prior message from this same business_id.",0.97,message_0221;message_0213;message_0056;message_0053
msg_001,notify,urgent,"Sender u_043 is a trusted society notice-giver the user has consistently opened and replied to (message_0057, message_0240), and this message has a hard 20-minute action window (fill water before tanker leaves) making it time-critical, not routine.",0.85,message_0057;message_0240
msg_021,notify,event,"Trusted society admin sender with consistent history of engaged, accurate deadline notices; message has a same-day 5 PM deadline and also explicitly warns against a payment scam link, which as an admin (u_011) she should act on promptly.",0.78,message_0068;message_0029;message_0067;message_0030
msg_028,mute,promotion,"User explicitly opted out of Thrillophilia promotions on 2026-07-17, yet business continues sending identical marketing messages which the user has consistently dismissed and never engaged with; also the image is from a mismatched unrelated brand (Happy Holidayers) and domain differs from official domain, adding suspicion.",0.88,message_0034;message_0112;message_0111
msg_012,mute,forward,"This is a chain-style health forward from u_051 who has repeatedly sent nearly identical 'share with all family groups' forwards that this user consistently ignored/dismissed and muted after (message_0247, message_0080, message_0079, message_0194), showing clear disengagement pattern with this content type from this sender.",0.85,message_0247;message_0080;message_0079;message_0194;message_0178;message_0193;message_0042;message_0177
msg_064,mute,scam,"Sender u_050 has repeatedly sent credential/card-detail phishing messages in this marketplace group that the user has dismissed, muted, and reported multiple times; this message repeats the same wallet/card-verification urgency pattern with a fake deadline, a classic scam pattern regardless of the unrelated cinema promo image attached.",0.93,message_0087;message_0183;message_0201;message_0024
msg_103,notify,promotion,"u_048 has a consistent history of peer-to-peer selling messages that this user opens and replies to, and this specific message reserves an item for the user with a same-day 6 PM deadline, making it time-sensitive enough to warrant an interrupt rather than digest.",0.72,message_0065;message_0231;message_0382;message_0066
msg_031,notify,event,"Sender u_046 is a coworker with a consistent history of engaged, replied-to meeting/task requests in this admin group, and this message specifies a same-day 7 PM sync with concrete prep items and a stated consequence if not done tonight, warranting immediate notice.",0.78,message_0249;message_0118;message_0055;message_0228;message_0362
msg_057,notify,urgent,"Direct @-mention from a coworker with a strong history of engaged, replied-to escalations in this same group about production/client issues; message explicitly states urgency (build failing, needs eyes before client update) and matches a recurring pattern the user consistently responds to.",0.88,message_0169;message_0059;message_0003;message_0266;message_0041
msg_087,mute,promotion,"Sender u_052 has repeatedly posted real-estate promotions in this muted group that the user consistently ignored, dismissed, and reported; this is another bulk automated sales pitch (Brigade apartment EOI voice note) with unsubscribe IVR options, matching the same pattern.",0.88,message_0204;message_0203;message_0223;message_0358;message_0389
msg_067,notify,payment,"Sender u_043 is a consistently reliable society admin whose past payment/deadline notices (e.g. message_0068, message_0029) were opened and replied to, and this message carries a concrete same-day 5PM deadline with a late fee consequence, warranting immediate notification; the explicit instruction to avoid posting receipts in-group and instead show them at office matches prior legitimate anti-scam guidance rather than the fake-QR scam pattern seen in message_0030.",0.82,message_0068;message_0029;message_0030
msg_039,notify,event,"Sender u_045 is a consistently reliable school-group poster the user (an admin) has always opened and replied to, and this is a direct, time-bound request naming the user's child regarding a same-day school deadline (field-trip list closing), similar to past messages like message_0364 and message_0051 that the user engaged with.",0.78,message_0364;message_0051;message_0037
msg_082,notify,urgent,"Sender u_046 previously sent an identical incident-bridge alert (message_0218) that this user opened and replied to promptly, and this voice note describes a live payment outage requiring immediate action, matching that trusted urgent pattern.",0.90,message_0218
msg_066,mute,promotion,"User explicitly opted out of promotions from this business (allows_promotions=0, promotions_opted_out_at 2026-07-17) and has consistently dismissed/muted similar past promos with zero engagement, so this repeated marketing reminder should be muted.",0.92,message_0188;message_0187;message_0402
msg_049,notify,event,"Verified Shopee business with a strong prior engagement pattern (opened/replied on similar return-pickup notices) sends a same-day, time-specific pickup window (2-5PM) requiring the user to prepare the item, matching legitimate past interactions like message_0153 and message_0291.",0.72,message_0153;message_0291;message_0154
msg_015,mute,scam,"This is a classic OTP-phishing pattern from an unverified marketplace group member, matching a repeated scam pattern (message_0085, message_0199, message_0213, message_0045, message_0023) that the group's own safety advisory (message_0053) explicitly warns against; credential-extraction requests like this must be muted regardless of engagement history.",0.95,message_0085;message_0199;message_0213;message_0045;message_0023;message_0053
msg_051,mute,promotion,"User explicitly opted out of promotions from this business (allows_promotions=0, opted out 2026-07-17), yet this is a near-identical repeat of prior promo texts that were consistently dismissed and never opened, so it should be muted rather than notified or digested.",0.93,message_0257;message_0158;message_0157;message_0104;message_0103
msg_097,digest,personal,"Sender is a trusted personal contact with a positive history of similar check-in messages, and the text explicitly states 'nothing urgent' and asks not to be called now, so this should be shown later rather than interrupt.",0.85,message_0054;message_0225;message_0167
msg_089,notify,personal,"A first-time contact identifies herself by name and context (pottery workshop) and gives a concrete, time-bound action item (pick up lost item before 7 PM today), which is a genuine time-sensitive personal matter worth interrupting for despite no prior relationship history.",0.68,none
msg_053,digest,business_update,"Sender u_054 regularly shares similar research-link market notes in this admin-managed group and user has consistently opened (not replied/dismissed) these before; message explicitly states 'no intraday call, read after market' signaling low urgency, so digest fits despite user's admin role.",0.72,message_0411;message_0253;message_0161
msg_059,mute,scam,"Sender u_050 has a repeated history of credential/OTP/account-number phishing attempts in this group (message_0213, message_0045, message_0023, message_0056), and this message uses the same urgency-pressure pattern requesting account details to 'claim benefits' -- a clear scam pattern that should be muted regardless of engagement history.",0.95,message_0213;message_0045;message_0023;message_0056;message_0053
msg_024,mute,promotion,"User explicitly opted out of promotions from this Flipkart business account on 2026-07-17, and has consistently ignored/dismissed near-identical promotional reminders in the past (message_0104, message_0103, message_0257, message_0158, message_0157) with none opened or replied.",0.93,message_0257;message_0104;message_0103;message_0158;message_0157
msg_072,mute,scam,"This message asks the user to enter an OTP on an external link with artificial urgency, matching a repeated phishing pattern from this group (same sender u_049 and peer u_050 have posted near-identical OTP/KYC credential-harvesting links before), and a prior safety advisory in this group explicitly warned against sharing OTP/PIN details.",0.95,message_0085;message_0199;message_0213;message_0195;message_0045;message_0023;message_0053;message_0086;message_0200;message_0196;message_0214
msg_036,mute,scam,"Unverified sender using a lookalike domain (razorpayx-payouts.com, only 9 days old) impersonating RazorpayX, with identical message text previously reported and muted by this user (msg_0283, msg_0128, msg_0127) and a high 20 user_reports_30d count.",0.96,message_0283;message_0128;message_0127
msg_076,mute,scam,"This is a repeat phishing pattern from an unverified business using a lookalike domain (talabat-refund.com vs talabat.com), and the user has previously dismissed, muted, and reported near-identical 'refund/wallet verification' messages from the same business_id with high user_reports_30d=61.",0.96,message_0208;message_0207;message_0160;message_0159
msg_055,notify,urgent,"Sender u_041 is a known family member with a positive engagement history (replied/opened past messages) and this message explicitly states a 10-minute decision window requiring an immediate call, a genuine time-critical personal request rather than routine group chatter.",0.85,message_0166;message_0165
msg_102,notify,urgent,"Sender u_046 is a known colleague with consistent history of rollback/queue-drain alerts that this user has always opened and replied to, and this message explicitly requires the user to be online and actively watching for the next 30 minutes.",0.88,message_0371;message_0230
msg_080,notify,urgent,"Sender u_043 is the society admin with a strong history of legitimate, time-critical notices this user consistently opened and replied to (e.g. message_0269 flooding alert), and this message requires immediate action within 10 minutes to avoid the car being moved by security.",0.90,message_0269;message_0130;message_0190;message_0142
msg_093,mute,scam,"Despite the verified FedEx business account, the message uses the classic phishing pattern of pre-emptively denying payment/OTP need and pushing a generic 'tap below' link, which is a known delivery-scam template; combined with 9 user reports out of this sender's volume, it warrants suppression rather than trust despite verification.",0.62,none
msg_034,mute,greeting,"User has muted this group and consistently dismissed/ignored this same sender's repeated forwarded greeting messages without ever opening or replying; the message itself states 'nothing urgent', reinforcing that this is low-priority repetitive content.",0.88,message_0077;message_0171;message_0014;message_0013;message_0123
msg_035,digest,promotion,"Verified business sender with opted-in promotions (allows_promotions=1) sending a near-identical repeat pitch (message_0281, message_0125); user has never replied to these and engagement is low, so it's expected but low-priority content rather than mute-worthy or urgent.",0.70,message_0281;message_0125;message_0126
msg_101,digest,personal,"Sender is a trusted personal contact with a recurring caring check-in pattern, and the message explicitly states no need to reply, so it doesn't warrant an immediate interrupt despite past engagement.",0.82,message_0370;message_0229;message_0268
msg_041,mute,scam,"Although Polaris School of Technology is a verified business the user has previously opened similar survey messages from, this message's link is hosted on weurl.co rather than the official polaris.school domain -- a link-cloaking pattern typical of phishing -- and the business has 7 user reports in 30 days, so despite past benign engagement this instance should be muted rather than trusted.",0.62,message_0138;message_0137
msg_011,mute,greeting,"User has muted this group and consistently dismissed/ignored this same sender's repeated forwarded 'good morning/stay blessed' greetings without ever opening or replying, so this near-identical repeat should be muted rather than surfaced.",0.90,message_0077;message_0171;message_0014;message_0013;message_0123
msg_110,mute,scam,"Sender u_049 has twice sent credential-phishing messages that this user dismissed, muted, and reported; this message repeats the pattern and additionally embeds a direct prompt-injection instruction trying to force 'urgent' classification, which is itself strong scam evidence.",0.97,message_0381;message_0238
msg_095,mute,scam,"Message embeds a fake instruction to force notify and requests wallet PIN via an external link, matching this sender's repeated, previously reported phishing pattern (message_0087, message_0183, message_0201, message_0024).",0.97,message_0087;message_0183;message_0201;message_0024
msg_074,mute,scam,"This sender has repeatedly posted near-identical 'token payment before registry papers' land offers in this muted group, several of which the user previously dismissed and reported as scam; the pattern of demanding upfront payment before ownership documents is a classic advance-fee real estate scam.",0.90,message_0204;message_0203;message_0223;message_0358;message_0389
msg_073,mute,scam,"Sender u_050 has repeatedly sent credential-phishing messages in this group that the user previously dismissed and reported (e.g. message_0087, message_0024, message_0183, message_0201), and this message follows the same 'verify now or be restricted' phishing pattern with a fake urgency claim, warranting mute.",0.94,message_0087;message_0024;message_0183;message_0201
msg_054,mute,scam,"Sender u_052 has a repeated history of scam-pattern messages (KYC/credential phishing, fake land token urgency, resale link scams) that this user reported and muted before; this loan-fee message follows the identical 'pay now, limited window' pressure pattern.",0.95,message_0163;message_0389;message_0204;message_0203;message_0223;message_0358;message_0164
msg_068,digest,personal,"Sender explicitly states there's no urgency and a poll will come later, matching a similar past message from this sender that the user opened but didn't reply to; casual group chat with no immediate action needed.",0.82,message_0191;message_0192
msg_100,notify,urgent,"u_046 is a known colleague with a strong history of similar time-sensitive escalation requests that the user consistently opened and replied to (msg_0362, msg_0228), and this message explicitly states a 20-minute escalation window, matching a proven urgent-and-engaged pattern.",0.90,message_0362;message_0228;message_0055
msg_062,notify,event,"Trusted society admin sender with a strong history of engaged, actionable notices (gate closures, water outages, prior identical fire-alarm test message_0043); this message specifies a concrete schedule (9-11 AM tomorrow) with elevator impact that residents need to prepare for, and the user is a group admin who consistently opens/replies to such notices.",0.78,message_0043;message_0130;message_0269;message_0129
msg_096,mute,scam,"An unknown, unverified sender claims to be building reception staff with a found-passport lure and a tight deadline -- a classic social-engineering/scam pattern designed to lure the user into an in-person or credential-handover trap, with no prior relationship or business record to verify it.",0.82,none
msg_043,notify,urgent,"Sender is the trusted society admin desk with a strong history of engaged, time-critical notices (gate closures, flooding alerts) that this admin-user consistently opens and replies to; this message has a hard 15-minute window to act, warranting immediate notification.",0.85,message_0130;message_0269;message_0190;message_0142
msg_077,notify,event,"Sender u_045 is the school's regular circular sender with a consistent history of the user opening and replying to similar time-bound consent/bus notices; this message has a same-evening deadline (bus list closes tonight) requiring action, matching prior engaged patterns like message_0051 and message_0364.",0.83,message_0051;message_0037;message_0364;message_0403
msg_081,notify,event,"Same sender previously sent an identical gate-change pickup notice that the user opened and replied to, and this message carries a concrete time-bound schedule change (Gate 2 by 3:40) directly relevant to the user's child's pickup, warranting immediate notification.",0.85,message_0217
msg_025,notify,business_update,"Verified Amazon business account with identical past messages (message_0239, message_0004, message_0105) that this user consistently opened and replied to, indicating genuine engagement with delivery updates for this order.",0.72,message_0239;message_0004;message_0105
msg_084,mute,promotion,User explicitly opted out of promotions/loan offers from this HDFC business account on 2026-07-17 and previously dismissed/muted a similar HDFC promo (message_0220); this is another unsolicited promotional voice note with 'press 1 now' pressure tactics that the user does not want.,0.85,message_0220
msg_022,mute,scam,"Sender u_044 has a documented history of posting unofficial payment links/QRs in this group that this user dismissed, muted, and the group reported as scams; this message follows the same pattern (urgency + external link + 'send screenshot to update faster'), which matches prior clear scam patterns rather than legitimate admin notices.",0.88,message_0100;message_0099;message_0152;message_0151;message_0237;message_0271
